# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridge.update.option.ms,1742024986478000000,1742025046472000000,0
workspaceModel.global.updates.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1742024986478000000,1742025046472000000,6
workspaceModel.load.cache.metadata.from.file.ms,1742024986478000000,1742025046472000000,28
jps.facet.change.listener.init.bridge.ms,1742024986478000000,1742025046472000000,0
workspaceModel.moduleBridge.before.changed.ms,1742024986478000000,1742025046472000000,0
jps.artifact.entities.serializer.load.entities.ms,1742024986478000000,1742025046472000000,0
jps.storage.jps.conf.reader.load.component.ms,1742024986478000000,1742025046472000000,7
jps.load.initial.state.ms,1742024986478000000,1742025046472000000,7
workspaceModel.mutableEntityStorage.remove.entity.ms,1742024986478000000,1742025046472000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1742024986478000000,1742025046472000000,0
jps.module.iml.entities.serializer.load.entities.ms,1742024986478000000,1742025046472000000,10
workspaceModel.moduleManagerBridge.get.modules.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1742024986478000000,1742025046472000000,0
workspaceModel.load.cache.from.file.ms,1742024986478000000,1742025046472000000,256
jps.project.serializers.save.ms,1742024986478000000,1742025046472000000,0
jps.save.global.entities.ms,1742024986478000000,1742025046472000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1742024986478000000,1742025046472000000,3
workspaceModel.mutableEntityStorage.to.snapshot.ms,1742024986478000000,1742025046472000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1742024986478000000,1742025046472000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1742024986478000000,1742025046472000000,310
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1742024986478000000,1742025046472000000,0
jps.app.storage.content.writer.save.component.ms,1742024986478000000,1742025046472000000,0
jps.save.changed.project.entities.ms,1742024986478000000,1742025046472000000,0
jps.global.handle.before.change.events.ms,1742024986478000000,1742025046472000000,0
workspaceModel.orphan.listener.update.ms,1742024986478000000,1742025046472000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1742024986478000000,1742025046472000000,65
workspaceModel.moduleManagerBridge.create.module.instance.ms,1742024986478000000,1742025046472000000,0
jps.global.get.library.by.name.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1742024986478000000,1742025046472000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1742024986478000000,1742025046472000000,20
jps.facet.change.listener.process.change.events.ms,1742024986478000000,1742025046472000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1742024986478000000,1742025046472000000,78
jps.library.entities.serializer.load.entities.ms,1742024986478000000,1742025046472000000,0
jps.project.serializers.load.ms,1742024986478000000,1742025046472000000,24
workspaceModel.mutableEntityStorage.add.diff.ms,1742024986478000000,1742025046472000000,3
workspaceModel.global.apply.state.to.project.ms,1742024986478000000,1742025046472000000,22
jps.global.initialize.library.bridges.after.loading.ms,1742024986478000000,1742025046472000000,0
jps.facet.change.listener.before.change.events.ms,1742024986478000000,1742025046472000000,0
jps.artifact.entities.serializer.save.entities.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1742024986478000000,1742025046472000000,0
